,Date,walk_time_hour,count,calorie,distance,Duration_in_min
364,2018-12-23,23,72,3.0100000000000002,52.827,2.9499999999999997
365,2018-12-24,1,30,1.2999999999999998,24.72,1.9833333333333334
366,2018-12-24,2,50,3.4499997000000002,52.34,3.0
367,2018-12-24,3,214,9.229,160.629,8.883333333333333
368,2018-12-24,5,17,0.7,11.9,0.9833333333333333
369,2018-12-24,9,21,0.93,15.94,1.9666666666666666
370,2018-12-24,13,33,1.3599999999999999,21.62,1.9666666666666666
371,2018-12-24,15,15,0.65,12.39,1.0
372,2018-12-24,16,376,16.22,283.44199999999995,8.85
373,2018-12-24,17,793,34.31,646.3399999999999,14.916666666666668
374,2018-12-24,18,705,30.259999999999998,576.258998,14.983333333333333
375,2018-12-24,19,208,9.01,151.091,7.883333333333334
376,2018-12-24,21,98,4.08,69.93,4.916666666666666
377,2018-12-24,22,39,1.7000000000000002,29.200000000000003,2.966666666666667
378,2018-12-24,23,298,12.440000000000001,229.46999999999997,12.899999999999997
379,2018-12-25,0,179,7.42,125.43,6.883333333333333
380,2018-12-25,1,45,1.8900000000000001,31.37,1.9666666666666666
381,2018-12-25,2,166,7.3100000000000005,128.59,5.8999999999999995
382,2018-12-25,3,41,1.6600000000000001,27.82,2.9499999999999997
383,2018-12-25,6,19,0.75,11.32,0.9833333333333333
384,2018-12-25,12,52,2.07,35.772,2.966666666666667
385,2018-12-25,13,472,19.779999999999998,330.98,17.733333333333327
386,2018-12-25,14,76,3.3200000000000003,59.56,2.9499999999999997
387,2018-12-25,15,83,3.4299999999999997,55.059999999999995,3.933333333333333
388,2018-12-25,17,76,3.33,58.17,2.9499999999999997
389,2018-12-25,18,129,5.4799999999999995,93.25999999999999,3.933333333333333
390,2018-12-25,19,36,1.6700000000000002,30.1,1.9666666666666666
391,2018-12-25,20,82,3.5,58.5,3.933333333333333
392,2018-12-25,21,61,2.64,46.72,2.9499999999999997
393,2018-12-25,22,271,11.26,186.99,7.866666666666666
394,2018-12-25,23,442,19.830000000000002,355.620005,7.0
395,2018-12-26,1,109,4.66,80.59,2.966666666666667
396,2018-12-26,2,289,12.44,214.60100000000003,11.83333333333333
397,2018-12-26,14,337,14.020000000000001,230.68,15.733333333333327
398,2018-12-26,15,97,4.08,68.6,2.9499999999999997
399,2018-12-26,16,329,14.780000099999999,245.69299699999996,8.883333333333333
400,2018-12-26,17,72,3.34,56.483,2.966666666666667
401,2018-12-26,18,55,2.9799997,48.0499998,3.0
402,2018-12-26,19,35,1.5,28.3,2.0
403,2018-12-26,20,120,5.090000000000001,87.32000000000001,6.883333333333333
404,2018-12-26,21,177,7.6299999,142.93,6.933333333333334
405,2018-12-26,22,719,31.081,537.31,21.633333333333333
406,2018-12-26,23,3187,195.10999999999996,2853.131,44.25000000000002
407,2018-12-27,0,426,18.1,313.92900099999997,11.83333333333333
408,2018-12-27,1,126,5.8,101.19000039999999,5.916666666666667
409,2018-12-27,2,93,4.57000015,78.740001,7.983333333333333
410,2018-12-27,3,87,3.80000006,72.85,2.966666666666667
411,2018-12-27,8,13,0.55,10.25,0.9833333333333333
412,2018-12-27,10,21,0.94,16.26,0.9833333333333333
413,2018-12-27,13,40,1.61,26.18,0.9833333333333333
414,2018-12-27,14,246,10.37000006,181.45999999999998,11.816666666666665
415,2018-12-27,15,628,27.549999999999997,466.1,17.766666666666662
416,2018-12-27,16,926,38.88999999999999,655.857,25.56666666666667
417,2018-12-27,17,100,4.13,69.72,3.933333333333333
418,2018-12-27,18,60,2.6,45.24,2.9499999999999997
419,2018-12-27,19,115,4.82,82.41999999999999,5.8999999999999995
420,2018-12-27,20,86,3.6399999999999997,61.04,3.933333333333333
421,2018-12-27,21,162,6.760000000000001,115.06,6.883333333333333
422,2018-12-27,22,948,47.050000000000004,635.132,21.633333333333333
423,2018-12-27,23,193,7.989999999999998,131.99800000000002,6.883333333333333
424,2018-12-28,0,58,2.45,42.15,2.9499999999999997
425,2018-12-28,1,189,7.909999999999999,133.25,7.866666666666666
426,2018-12-28,3,112,4.699999999999999,77.88000000000001,3.933333333333333
427,2018-12-28,12,16,0.66,11.54,0.9833333333333333
428,2018-12-28,14,163,6.720000000000001,114.214,4.916666666666666
429,2018-12-28,16,76,3.26,59.91,2.966666666666667
430,2018-12-28,17,237,10.120000099999999,164.74,3.966666666666667
431,2018-12-28,18,35,1.4899999999999998,27.51,3.0
432,2018-12-28,19,91,3.7799999799999995,65.860001,5.95
433,2018-12-28,21,238,10.11,174.26000000000002,5.916666666666667
434,2018-12-28,22,22,0.99,17.6,0.9833333333333333
